Continent ID,Continent,Country ID,Country,ISO 3,Trade Value,Year
eu,Europe,euesp,Spain,esp,64974.0,2017
eu,Europe,euest,Estonia,est,8507799.0,2017
eu,Europe,eufra,France,fra,93699.0,2017
eu,Europe,eugbr,United Kingdom,gbr,262629.0,2017
eu,Europe,euhrv,Croatia,hrv,11213.000000000002,2017
eu,Europe,euhun,Hungary,hun,8845.000000000002,2017
eu,Europe,euirl,Ireland,irl,9904.0,2017
eu,Europe,euita,Italy,ita,442808.0,2017
eu,Europe,eultu,Lithuania,ltu,34376.0,2017
eu,Europe,eulux,Luxembourg,lux,6617786.000000001,2017
eu,Europe,eulva,Latvia,lva,1821231.0,2017
eu,Europe,eumkd,North Macedonia,mkd,548477.0,2017
eu,Europe,eunld,Netherlands,nld,178887.0,2017
